filepaths,labels
flowers\rose\2480340422_fc68c6e9bf_c.jpg.npy,rose
flowers\daisy\2514748602_343d4727c0_n.jpg.npy,daisy
flowers\sunflower\4867374254_419575966d_c.jpg.npy,sunflower
flowers\sunflower\01814_01_sunrichorangesum.jpg.npy,sunflower
flowers\dandelion\19163546_bede0b9c45_c.jpg.npy,dandelion
flowers\tulip\8628290488_25c6ac2c2f_c.jpg.npy,tulip
flowers\tulip\4c74e8fd9f.jpg.npy,tulip
flowers\sunflower\2895404754_6d9f9416d7_n.jpg.npy,sunflower
flowers\rose\5089363428_2c5a1272ea.jpg.npy,rose
flowers\sunflower\14968625416_4973bf5ff7_c.jpg.npy,sunflower
flowers\sunflower\7687670206_c61eddfd52_c.jpg.npy,sunflower
flowers\rose\9216321995_83df405ea9.jpg.npy,rose
flowers\tulip\5539156807_db87a42748_c.jpg.npy,tulip
flowers\dandelion\14065420729_9b388bf7cb_m.jpg.npy,dandelion
flowers\rose\23780970139_fc490cacf8_c.jpg.npy,rose
flowers\dandelion\144040769_c5b805f868.jpg.npy,dandelion
flowers\sunflower\35807328402_37224c938f_c.jpg.npy,sunflower
flowers\sunflower\image_05417.jpg.npy,sunflower
flowers\rose\28777523597_15f55b85cf_c.jpg.npy,rose
flowers\rose\image_01313.jpg.npy,rose
flowers\rose\pink-roses-huge-bouquet-glass-vase-isolated-white-background-space-text-37914465.jpg.npy,rose
flowers\rose\4414135084_1ac7e6cd54.jpg.npy,rose
flowers\daisy\14219214466_3ca6104eae_m.jpg.npy,daisy
flowers\dandelion\7808430998_31ba639031_n.jpg.npy,dandelion
flowers\sunflower\1240625276_fb3bd0c7b1.jpg.npy,sunflower
flowers\sunflower\79664056_b8ebb5d844_c.jpg.npy,sunflower
flowers\rose\4951581805_b049304f1b_n.jpg.npy,rose
flowers\tulip\16133917184_b5755756bd_n.jpg.npy,tulip
flowers\dandelion\8718284361_fd300b1c8b_c.jpg.npy,dandelion
flowers\rose\17940079_b29dc18a2f_c.jpg.npy,rose
flowers\dandelion\6346b95b8605bc40e1c8a84e1f76fff3.jpg.npy,dandelion
flowers\sunflower\2849894782_9612276d00_c.jpg.npy,sunflower
flowers\daisy\10300722094_28fa978807_n_jpg.rf.1661f5022c8b1e78ad7643d1e8fd8e42.jpg.npy,daisy
flowers\dandelion\3005677730_2662753d3f_m.jpg.npy,dandelion
flowers\dandelion\7137279183_d4e73986f9_c.jpg.npy,dandelion
flowers\rose\14805639873_8755a494c4_c.jpg.npy,rose
flowers\daisy\2590291468_2635d3e4e0_n_jpg.rf.8d32a9fd8c5a3c1843f972ce265f221b.jpg.npy,daisy
flowers\rose\8702674772_b285eb4fbb_c.jpg.npy,rose
flowers\dandelion\harvest-mouse-dandelion-full-length-portrait-climbing-up-clock-tail-wrapped-around-stem-100486505.jpg.npy,dandelion
flowers\sunflower\31703994537_a4cc34b9a7_c.jpg.npy,sunflower
flowers\rose\14416921483_36e546a3f5_c.jpg.npy,rose
flowers\tulip\8648078282_0edec6376c_c.jpg.npy,tulip
flowers\tulip\tulips-5199478.jpg.npy,tulip
flowers\tulip\8731450512_5d62a43243_c.jpg.npy,tulip
flowers\rose\3673213268_84b7121aac_c.jpg.npy,rose
flowers\tulip\tulips-pink-flower-greenhouse-pastel-background-66995103.jpg.npy,tulip
flowers\dandelion\dandelion-169978.jpg.npy,dandelion
flowers\rose\image_01189.jpg.npy,rose
flowers\daisy\image_02240.jpg.npy,daisy
flowers\rose\most_bful_rosest_01.jpg.npy,rose
flowers\tulip\multiple-red-orange-spring-tulip-flower-stone-background-leaves-50756634.jpg.npy,tulip
flowers\sunflower\5016899924_54cea70318_c.jpg.npy,sunflower
flowers\tulip\2773609989_02a4c5f0de_c.jpg.npy,tulip
flowers\daisy\16056178001_bebc2153fe_n.jpg.npy,daisy
flowers\rose\15769526165_e106a726d8_c.jpg.npy,rose
flowers\sunflower\3877282691_94617fa0fa_c.jpg.npy,sunflower
flowers\rose\f59bbf7ede.jpg.npy,rose
flowers\rose\5212877807_a3ddf06a7c_n.jpg.npy,rose
flowers\sunflower\images22.jpg.npy,sunflower
flowers\dandelion\479495978_ee22cf05be.jpg.npy,dandelion
flowers\dandelion\9719816995_8f211abf02_n.jpg.npy,dandelion
flowers\rose\2236959607_042732f9ff_c.jpg.npy,rose
flowers\sunflower\13354458753_7b586f7c95_n.jpg.npy,sunflower
flowers\sunflower\31b9ba05a7876bfe116c1e182ce30dba.jpg.npy,sunflower
flowers\daisy\14021430525_e06baf93a9.jpg.npy,daisy
flowers\sunflower\35212650303_496c2580a0_c.jpg.npy,sunflower
flowers\rose\6879112993_5a29208438_n.jpg.npy,rose
flowers\sunflower\9245442958_833975e9db_c.jpg.npy,sunflower
flowers\dandelion\8b85a84a73.jpg.npy,dandelion
flowers\tulip\tulips-1153739.jpg.npy,tulip
flowers\rose\pink-roses-bouquet-free-space-text-29996875.jpg.npy,rose
flowers\rose\15712574834_2f121c7cf9_m.jpg.npy,rose
flowers\sunflower\4880027883_d7811d1f81_c.jpg.npy,sunflower
flowers\tulip\15029962436_3e50c1f30f_n.jpg.npy,tulip
flowers\sunflower\2697002801_2abfaea013_c.jpg.npy,sunflower
flowers\rose\29203009700_f6e9b63e66_c.jpg.npy,rose
flowers\sunflower\6112510436_9fe06e695a_n.jpg.npy,sunflower
flowers\sunflower\10541580714_ff6b171abd_n.jpg.npy,sunflower
flowers\tulip\2256230386_08b54ca760.jpg.npy,tulip
flowers\dandelion\17276354745_2e312a72b5_n.jpg.npy,dandelion
flowers\tulip\14055538059_b826e0ac2b_n.jpg.npy,tulip
flowers\sunflower\4754259657_6dd704be12_c.jpg.npy,sunflower
flowers\rose\4735314389_94fe1b2a9f_n.jpg.npy,rose
flowers\rose\2480343746_d94bf025a2_c.jpg.npy,rose
flowers\daisy\2498632196_e47a472d5a.jpg.npy,daisy
flowers\daisy\20580471306_ab5a011b15_n.jpg.npy,daisy
flowers\daisy\6529588249_d9cbe68aab_n_jpg.rf.4802359b8aac94ff6abd2cd9f79228eb.jpg.npy,daisy
flowers\dandelion\8719032054_9a3ce4f0ff.jpg.npy,dandelion
flowers\dandelion\17135145776_4c2ec21b05_m.jpg.npy,dandelion
flowers\tulip\16677542612_a78a8ca8b3_m.jpg.npy,tulip
flowers\daisy\34637394046_f85541735d_n_jpg.rf.940f49431c5864b741ae519b922a3404.jpg.npy,daisy
flowers\sunflower\9500bcfd85.jpg.npy,sunflower
flowers\daisy\daisy-19793512.jpg.npy,daisy
flowers\rose\image_01226.jpg.npy,rose
flowers\rose\4764674741_82b8f93359_n.jpg.npy,rose
flowers\daisy\8676aa7d8d.jpg.npy,daisy
flowers\sunflower\9240129413_f240ce7866_n.jpg.npy,sunflower
flowers\daisy\488202750_c420cbce61.jpg.npy,daisy
flowers\sunflower\59050223_e8a2fd14e2_c.jpg.npy,sunflower
flowers\tulip\5702211752_a2b0029991_c.jpg.npy,tulip
flowers\dandelion\2495749544_679dc7ccef.jpg.npy,dandelion
flowers\dandelion\26423707613_387c5f8022_c.jpg.npy,dandelion
flowers\dandelion\10351093506_ec7f699782_c.jpg.npy,dandelion
flowers\daisy\993b9a62cd.jpg.npy,daisy
flowers\tulip\tulips-ceramics-pot-14061528.jpg.npy,tulip
flowers\tulip\tulips-bouquet-00110.jpg.npy,tulip
flowers\tulip\e9fdf6494c8aa5bb1d2a9241f8342af1.jpg.npy,tulip
flowers\sunflower\20520537443_b82ce0b081_c.jpg.npy,sunflower
flowers\dandelion\28771926018_c0300724f7_c.jpg.npy,dandelion
flowers\sunflower\22429946721_e17a12cb39_n.jpg.npy,sunflower
flowers\tulip\6f1aad41fda1b0a1e3c82ea456785bb6.jpg.npy,tulip
flowers\rose\5179159949_46c9ddb8f4_c.jpg.npy,rose
flowers\tulip\8712270665_57b5bda0a2_n.jpg.npy,tulip
flowers\sunflower\5dba3239b0740.jpg.npy,sunflower
flowers\daisy\34520690871_8fe693bc71_n_jpg.rf.5405dbb3cd3dc45f6febc7c9c8ddb67f.jpg.npy,daisy
flowers\rose\16018886851_c32746cb72.jpg.npy,rose
flowers\dandelion\e28e1202ea.jpg.npy,dandelion
flowers\rose\776264845_ff66d8bb1c_c.jpg.npy,rose
flowers\tulip\3126586386_2c469be779_c.jpg.npy,tulip
flowers\rose\2739757169_d813386605_c.jpg.npy,rose
flowers\daisy\107592979_aaa9cdfe78_m_jpg.rf.604bc36d11e4db74c400295add2ec32f.jpg.npy,daisy
flowers\sunflower\7758707926_b397e545d0_c.jpg.npy,sunflower
flowers\dandelion\31058966742_3e8f1d743c_c.jpg.npy,dandelion
flowers\daisy\9286947622_4822f4fc21.jpg.npy,daisy
flowers\rose\roses-92944419.jpg.npy,rose
flowers\daisy\image_02275.jpg.npy,daisy
flowers\dandelion\41603641521_bddca1ee7a_c.jpg.npy,dandelion
flowers\sunflower\19359539074_d7e32e6616_n.jpg.npy,sunflower
flowers\daisy\34591991761_16fc5c9c00_n_jpg.rf.60969412c22089ab93e134197aac006a.jpg.npy,daisy
flowers\dandelion\5bc28bfc5652636f7019e1513f10f363.jpg.npy,dandelion
flowers\daisy\919cd97576.jpg.npy,daisy
flowers\sunflower\43282560424_725f26130b_c.jpg.npy,sunflower
flowers\sunflower\21090872838_b3f5552061_c.jpg.npy,sunflower
flowers\tulip\c7d6b1120111119d7a1048f878ccde9a.jpg.npy,tulip
flowers\sunflower\hokuryu11.jpg.npy,sunflower
flowers\tulip\19732081840_f573a3827d_n.jpg.npy,tulip
flowers\dandelion\34470914906_be645cc5c5_c.jpg.npy,dandelion
flowers\sunflower\d49637bc6c.jpg.npy,sunflower
flowers\dandelion\19437578578_6ab1b3c984.jpg.npy,dandelion
flowers\rose\527cff16e4.jpg.npy,rose
flowers\rose\ce6d6e24adaa92f28cd2036b9721eda5.jpg.npy,rose
flowers\dandelion\34571561452_07ec474366_n.jpg.npy,dandelion
flowers\rose\5333437251_ce0aa6925d_n.jpg.npy,rose
flowers\rose\23232710191_cc57620cd5.jpg.npy,rose
flowers\sunflower\8080216215_a944a2b2a5_c.jpg.npy,sunflower
flowers\tulip\08a18551af.jpg.npy,tulip
flowers\tulip\25048430162_ed6f2f4106_c.jpg.npy,tulip
flowers\rose\5693502877_41c11295b6_n.jpg.npy,rose
flowers\rose\19578459688_9711391b10_c.jpg.npy,rose
flowers\daisy\image_02219.jpg.npy,daisy
flowers\dandelion\6208857436_14a65fe4af_n.jpg.npy,dandelion
flowers\tulip\13670612243_63a5579fe4_c.jpg.npy,tulip
flowers\dandelion\14576445793_582aa6446b_m.jpg.npy,dandelion
flowers\daisy\3386988684_bc5a66005e_jpg.rf.e534d71d342c21513c82ba0852fc0a51.jpg.npy,daisy
flowers\tulip\f89b0264eb.jpg.npy,tulip
flowers\tulip\8712282563_3819afb7bc.jpg.npy,tulip
flowers\rose\b75a3d0024.jpg.npy,rose
flowers\tulip\8736486895_eae31fb07c_c.jpg.npy,tulip
flowers\rose\5421256896_856912ca3c_c.jpg.npy,rose
flowers\daisy\4654579740_6671a53627_m_jpg.rf.b4eea359e9ca8c81bfca7787fadd56ab.jpg.npy,daisy
flowers\tulip\5691248281_f2b6f52507_c.jpg.npy,tulip
flowers\tulip\17028343328_1de02cffc9_c.jpg.npy,tulip
flowers\rose\fc756a7d33.jpg.npy,rose
flowers\sunflower\sunflower-field-5872803.jpg.npy,sunflower
flowers\rose\9139995278_2435561a07_c.jpg.npy,rose
flowers\dandelion\2502610598_b9f1b55ebd_n.jpg.npy,dandelion
flowers\tulip\14387820624_3cd3bf71ff_c.jpg.npy,tulip
flowers\sunflower\71.jpg.npy,sunflower
flowers\daisy\01b4a2ea433fc88b08203d5ede2644fa.jpg.npy,daisy
flowers\tulip\34075046050_d51cc15695_c.jpg.npy,tulip
flowers\dandelion\5654859907_c2be3b0f1e_n.jpg.npy,dandelion
flowers\rose\14240988383_1d3aafab7e_c.jpg.npy,rose
